"Jan 22 2026",,,
Company,Gross,Net,Corp
"Warner Bros. Pictures Inc.","$61.53","$61.53","EML"
"MGM","$37.06","$37.06","LBI"
"Universal City Studios LLC","$61.37","$61.37","EML"
"CBS Entertainment, Inc.","$13.39","$8.38","LehBod"
"Metro-Goldwyn-Mayer Pictures Inc.","$32.46","$32.46","EML"
"CBS Entertainment, Inc.","$26.07","$26.07","EML"
"Walt Disney Pictures","$19.98","$12.49","LehBod"
"Walt Disney Pictures","$402.95","$402.95","LBI"
"Walt Disney Pictures","$11.40","$11.40","EML"
"Walt Disney Pictures","$0.03","$0.02","LehBod"
"Walt Disney Pictures","$24.81","$24.81","EML"
"Walt Disney Pictures","$17.36","$10.85","LehBod"
"Walt Disney Pictures","$2.16","$2.16","LBI"
"Walt Disney Pictures","$0.04","$0.04","EML"
"Twentieth Century Fox Film Corporation","$621.60","$621.60","EML"
"Twentieth Century Fox Film Corporation","$136.84","$136.84","LBI"
"Walt Disney Pictures","$0.91","$0.91","LBI"
"Walt Disney Pictures","$24.67","$24.67","LBI"
"Walt Disney Pictures","$1,185.95","$1,185.95","LBI"
"Walt Disney Pictures","$1,213.75","$1,213.75","EML"
"Walt Disney Pictures","$13.19","$8.26","LehBod"
,,"$2,053.03", EML
,,"$1,790.54", LBI
,,"$40.0", LehBod
