"Oct 27 2025",,,
Company,Gross,Net,Corp
"A24 Films LLC","$22.99","$22.99","LBI"
"Twentieth Century Fox Film Corporation","$0.59","$0.59","EML"
"Twentieth Century Fox Film Corporation","$0.14","$0.14","LBI"
"Twentieth Century Fox Film Corporation","$0.07","$0.07","EML"
"Twentieth Century Fox Film Corporation","$121.50","$121.50","EML"
"Twentieth Century Fox Film Corporation","$488.99","$488.99","EML"
"Twentieth Century Fox Film Corporation","$0.12","$0.12","LBI"
"Twentieth Century Fox Film Corporation","$32.76","$32.76","LBI"
"Twentieth Century Fox Film Corporation","$109.73","$109.73","LBI"
,,"$165.74", LBI
,,"$611.15", EML
