"Dec 2 2025",,,
Company,Gross,Net,Corp
"Warner Bros. Pictures Inc.","$68.37","$68.37","EML"
"Walt Disney Pictures","$3,222.18","$3,222.18","LBI"
"Warner Bros. Pictures Inc.","$9.22","$7.79","LehBod"
"Warner Bros. Pictures Inc.","$120.78","$120.78","LBI"
"Universal City Studios LLC","$32.95","$32.95","EML"
"Universal City Studios LLC","$5,198.50","$5,198.50","EML"
"Universal City Studios LLC","$1,517.57","$1,517.57","LBI"
"Warner Bros. Pictures Inc.","$102.95","$102.95","EML"
"Warner Bros. Pictures Inc.","$59.14","$59.14","EML"
"Warner Bros. Pictures Inc.","$577.72","$577.72","LBI"
"Warner Bros. Pictures Inc.","$5.31","$5.31","EML"
"Warner Bros. Pictures Inc.","$188.78","$188.78","EML"
"Warner Bros. Pictures Inc.","$376.18","$376.18","EML"
"Warner Bros. Pictures Inc.","$292.76","$292.76","EML"
"Paramount Pictures Corporation","$354.35","$354.35","EML"
"Paramount Pictures Corporation","$60.05","$60.05","LBI"
"Paramount Pictures Corporation","$67.54","$67.54","EML"
"Warner Bros. Pictures Inc.","$916.12","$916.12","EML"
"Warner Bros. Pictures Inc.","$34.43","$34.43","LBI"
"Warner Bros. Pictures Inc.","$97.36","$97.36","EML"
"Warner Bros. Pictures Inc.","$6.40","$5.42","LehBod"
"Warner Bros. Pictures Inc.","$9.56","$9.56","LBI"
"Warner Bros. Pictures Inc.","$22.57","$22.57","EML"
,,"$7,782.88", EML
,,"$5,542.29", LBI
,,"$13.21", LehBod
