"Jul 10 2025",,,
Company,Gross,Net,Corp
"Warner Bros. Pictures Inc.","$785.53","$785.53","EML"
"Warner Bros. Pictures Inc.","$117.71","$117.71","EML"
"Warner Bros. Pictures Inc.","$1,541.17","$1,541.17","LBI"
"They Productions Inc.","$62.34","$62.34","EML"
"Warner Bros. Pictures Inc.","$5.43","$5.43","EML"
"They Productions Inc.","$71.66","$71.66","EML"
"Home Box Office, Inc.","$1.64","$1.64","EML"
"Warner Bros. Pictures Inc.","$392.16","$392.16","EML"
"Warner Bros. Pictures Inc.","$25.15","$25.15","EML"
"Warner Bros. Pictures Inc.","$45.33","$45.33","EML"
"Walt Disney Pictures","$6,041.60","$6,041.60","LBI"
"Lionsgate","$19.18","$19.18","EML"
,,"$1,526.13", EML
,,"$7,582.77", LBI
